Product,Old Price,Discount,New Price
 Rotomartillo Sds Plus 15/16 850 Watts C/estuche 0-1100 Rpm ," $ 5,283 ",29% OFF,"3,750"
 Silla Barberia Sillon Barbero Estetica Reclinable Hidraulico ," $ 6,999 ",10% OFF,"6,299"
 Bateria De Cocina Primaware 42 Piezas Cubiertos Tramontina ," $ 2,099 ",11% OFF,"1,849"
 Worlde Panda Mini 25- Clave Ultra- Teclado Usb Portátil Midi ," $ 2,136 ",25% OFF,"1,602"
 Colageno Yeguada La Reserva 100% Original ,,,169
 Ramen Coreano Picante Cheese 1 Pieza 140g Samyang , $ 38 ,8% OFF,34
 Router Tp-link Inalámbrico N300 Tl-wr840n V5 Antena Externa , $ 599 ,25% OFF,449
 Tequila Don Julio 70 Cristalino Añejo 700 Ml ,,,899
 Zte Blade V9 Vita Rosa 16 Gb ," $ 2,351 ",10% OFF,"2,099"
 Nupec Adulto 20 Kilos Original ," $ 1,838 ",28% OFF,"1,320"
 Nueces Surtidas Kirkland Signature De 1.1 Kg , $ 575 ,27% OFF,415
 Uniq One Tratamiento All In One ,,,330
 Cepillo Eléctrico Vitality + 4 Cabezales Presicion Clean , $ 980 ,28% OFF,705
 Royal Canin Urinary So 11.5kg ," $ 1,619 ",9% OFF,"1,459"
 Monitor De Bebé Inalámbrico Inteligente ," $ 1,331 ",16% OFF,"1,118"
 Soldadora Mini Inversora 130a Electrodos Careta Cable ," $ 1,699 ",17% OFF,"1,399"
 Xiaomi Redmi Note 8 Pro 128 Gb+6ram Versión Global Sellado ," $ 6,666 ",10% OFF,"5,999"
 Purina Cat Chow Gato Bulto 20kg ," $ 1,045 ",9% OFF,941
 Playera De Hombre C&a Cuello V De Manga Corta Básica , $ 99 ,30% OFF,69
" Botella De Agua Inteligente, De Acero Inoxidable, 14 Oz ", $ 583 ,25% OFF,437
 Gel Chupa Panza Original De Jengibre Y Bamintol 240 Gr , $ 65 ,10% OFF,58
 Gatorade En Polvo Sabor Naranja De 2.38 Kg , $ 350 ,15% OFF,295
 Audifonos Bluetooth Apple AirPods 2da Gen Original ,,,"3,599"
 Termómetro Digital Flexible 10 Segundos Microlife Mt200 ,,,319
 Hidrolavadora K2 Telescopic Karcher 9.543-951.0 127v 1600p ," $ 2,999 ",10% OFF,"2,699"
 3 Frascos Locion Crecimiento Barba Bergamota Extra Fuerte , $ 799 ,68% OFF,249
 Celular Samsung Galaxy A71 128gb 6ram 4 Cámaras Liberado ," $ 10,751 ",10% OFF,"9,599"
 Mascarilla P/rostro Y Cuello Antiarrugas C/luz Led 7 Colores ," $ 1,953 ",14% OFF,"1,660"
 Adata Disco Duro Externo 2tb Usb 3.0 3.1 Uso Rudo Hd330 ,,,"1,687"
 Tenis adidas Hombre Negro Vs Pace B74494 ," $ 1,399 ",36% OFF,889
 Tenis Vans Unisex Negro Old Skool Clásicos Skate Vn000zdf1wx , $ 989 ,19% OFF,799
 Candil Colgante Vintage Cristal Negro Traslúcido E12 4 Luces , $ 990 ,20% OFF,792
 Rasuradora Taurus Minos 2.5w Recargable Navaja De Acero Sin , $ 250 ,28% OFF,179
 Carriola Baston Bebe Evenflo Light Route Ligera , $ 799 ,15% OFF,674
 Extractor Leche Evenflo Electrico O Pilas Doble Recolector ," $ 2,199 ",9% OFF,"1,999"
 Andadera Ortopedica Rollator Asiento Silla Adulto Mayor ," $ 1,799 ",12% OFF,"1,578"
 Te Divina Original 100% Detox Organico 4 Sobres Envio Gratis , $ 897 ,10% OFF,807
 Playera De Mujer C&a Con Estampado Al Frente Básica , $ 99 ,49% OFF,50
 Taladro Teeno Rotomartillo 1/2'' 650w Set 36 Pieza ," $ 1,552 ",24% OFF,"1,165"
 Power Legs + Pressure X - Ciudado De Tus Pies - Cv Directo ," $ 4,999 ",15% OFF,"4,249"
 Ssd Kingston A400 Disco Duro Solido 240 Gb Negro Sa400s37 ," $ 1,049 ",11% OFF,929
 Nautica Voyage N-83 Para Cabalero Edt 100ml 100% Originales , $ 329 ,7% OFF,305
